,accuracy,loss,iteration,triggers,cnn_accuracy,finetuned_bert_accuracy
0,0.8278508771929824,0.42772454023361206,0,the_the_the,0.7883771929824561,0.9177631578947368
1,0.24890350877192982,1.634631872177124,1,remarkable_remarkable_remarkable,0.0010964912280701754,0.5833333333333334
2,0.18859649122807018,1.840258240699768,2,remarkable_remarkable_remarkable,0.0,0.6228070175438597
3,0.17653508771929824,1.8819496631622314,3,heart_heart_terrific,0.0,0.38596491228070173
4,0.17105263157894737,1.9124599695205688,4,remarkable_remarkable_remarkable,0.0,0.3607456140350877
5,0.16447368421052633,1.9316660165786743,5,remarkable_remarkable_remarkable,0.0,0.43859649122807015
6,0.16447368421052633,1.941717505455017,6,remarkable_remarkable_remarkable,0.0,0.46600877192982454
7,0.16228070175438597,1.9500535726547241,7,remarkable_terrific_remarkable,0.0,0.38706140350877194
8,0.1611842105263158,1.9524551630020142,8,heart_heart_company,0.0,0.41228070175438597
9,0.1600877192982456,1.9566115140914917,9,remarkable_remarkable_remarkable,0.0,0.3081140350877193
10,0.15899122807017543,1.9599590301513672,10,remarkable_terrific_remarkable,0.0,0.27631578947368424
11,0.15899122807017543,1.9620991945266724,11,remarkable_remarkable_remarkable,0.0,0.3355263157894737
12,0.15789473684210525,1.9639042615890503,12,remarkable_heart_remarkable,0.0,0.28399122807017546
13,0.15570175438596492,1.9653620719909668,13,remarkable_remarkable_remarkable,0.0,0.3355263157894737
14,0.15570175438596492,1.966788411140442,14,remarkable_terrific_remarkable,0.0,0.32127192982456143
15,0.15570175438596492,1.967853307723999,15,remarkable_remarkable_remarkable,0.0,0.3125
16,0.15570175438596492,1.9688948392868042,16,remarkable_remarkable_remarkable,0.0,0.3541666666666667
