,accuracy,loss,iteration,triggers,lstm_accuracy,finetuned_bert_accuracy
0,0.7920792079207921,0.45880866050720215,0,the_the_the,0.6941694169416942,0.8800880088008801
1,0.0,7.808945655822754,1,unfortunately_unfortunately_unfortunately,0.4004400440044004,0.17271727172717272
2,0.0,11.481986045837402,2,unfortunately_suffers_suffers,0.31353135313531355,0.2299229922992299
3,0.0,11.737822532653809,3,unfortunately_suffers_suffers,0.29042904290429045,0.30143014301430143
4,0.0,11.737822532653809,4,unfortunately_suffers_suffers,0.28822882288228824,0.3333333333333333
5,0.0,11.737822532653809,5,unfortunately_suffers_suffers,0.28492849284928495,0.37623762376237624
6,0.0,11.737822532653809,6,unfortunately_suffers_suffers,0.2838283828382838,0.37293729372937295
7,0.0,11.737822532653809,7,unfortunately_suffers_suffers,0.2816281628162816,0.3234323432343234
8,0.0,11.737822532653809,8,unfortunately_suffers_suffers,0.28052805280528054,0.25412541254125415
9,0.0,11.737822532653809,9,unfortunately_suffers_suffers,0.28052805280528054,0.27832783278327833
10,0.0,11.737822532653809,10,unfortunately_suffers_suffers,0.28052805280528054,0.32893289328932895
11,0.0,11.737822532653809,11,unfortunately_suffers_suffers,0.28052805280528054,0.2948294829482948
12,0.0,11.737822532653809,12,unfortunately_suffers_suffers,0.28052805280528054,0.253025302530253
13,0.0,11.737822532653809,13,unfortunately_suffers_suffers,0.28052805280528054,0.25412541254125415
14,0.0,11.737822532653809,14,unfortunately_suffers_suffers,0.28052805280528054,0.2717271727172717
15,0.0,11.737822532653809,15,unfortunately_suffers_suffers,0.2794279427942794,0.2607260726072607
16,0.0,11.737822532653809,16,unfortunately_suffers_suffers,0.27832783278327833,0.2299229922992299
