,accuracy,loss,iteration,triggers,cnn_accuracy,finetuned_bert_accuracy,lstm_w2v_accuracy
0,0.834983498349835,0.5051522850990295,0,the_the_the,0.8371837183718371,0.9361936193619362,0.7392739273927392
1,0.3388338833883388,0.8920744061470032,1,too_too_too,0.6303630363036303,0.6831683168316832,0.6919691969196919
2,0.32673267326732675,0.9034033417701721,2,too_too_too,0.27832783278327833,0.5907590759075908,0.6567656765676567
3,0.32453245324532454,0.9050533175468445,3,too_too_too,0.27832783278327833,0.5753575357535754,0.6215621562156216
4,0.32233223322332233,0.9059463739395142,4,too_too_too,0.27832783278327833,0.5775577557755776,0.605060506050605
5,0.32233223322332233,0.9063894748687744,5,too_too_too,0.27832783278327833,0.5995599559955995,0.5951595159515951
6,0.32233223322332233,0.9065956473350525,6,too_too_too,0.27832783278327833,0.6072607260726073,0.592959295929593
7,0.32233223322332233,0.9066941142082214,7,too_too_too,0.27832783278327833,0.5995599559955995,0.5896589658965896
8,0.32233223322332233,0.9067434072494507,8,too_too_too,0.27832783278327833,0.570957095709571,0.5885588558855885
9,0.32233223322332233,0.9067694544792175,9,too_too_too,0.27832783278327833,0.5412541254125413,0.5885588558855885
10,0.32233223322332233,0.9067835211753845,10,too_too_too,0.27832783278327833,0.5379537953795379,0.5874587458745875
11,0.32233223322332233,0.9067917466163635,11,too_too_too,0.27832783278327833,0.5401540154015402,0.5874587458745875
12,0.32233223322332233,0.9067965745925903,12,too_too_too,0.27832783278327833,0.55995599559956,0.5874587458745875
13,0.32233223322332233,0.9067994952201843,13,too_too_too,0.27832783278327833,0.5874587458745875,0.5863586358635864
14,0.32233223322332233,0.9068011045455933,14,too_too_too,0.27832783278327833,0.6127612761276128,0.5863586358635864
15,0.32233223322332233,0.9068024158477783,15,too_too_too,0.27832783278327833,0.636963696369637,0.5863586358635864
16,0.32233223322332233,0.9068031311035156,16,too_too_too,0.27832783278327833,0.6292629262926293,0.5863586358635864
